Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,doors_int,seats_int,LitresPer100km,used_0_new_1,transmission_auto,age,color_primary,std_color,color_black,color_white,color_gray,color_silver,color_red,fuel_bucket,fuel_cat_Gasoline,fuel_cat_Diesel,fuel_cat_Electric,fuel_cat_Hybrid,Brand_Bucket,brand_cat_Economy,brand_cat_Luxury,brand_cat_Premium,brand_cat_Ultra Luxury,cylinders,engine_l,make_model,price_bin,make_model_segment,CarBodyType_Cleaned,log_price,age_squared,Body_type_Other,Body_type_SUV,Body_type_Sedan,Body_type_Wagon,Make_Model_cat_economy,Make_Model_cat_premium
Mazda,2022.0,CX-5,SUV,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5 L / 100 km,10579.0,Black / Black,"Five Dock, NSW",4 cyl,SUV, 4 Doors, 5 Seats,37990.0,4,5,7.5,0,1,1.0,Black,black,1,0,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.5,Mazda CX-5,35–65k,economy,SUV,10.54510456855174,1.0,0,1,0,0,1,0
Toyota,2010.0,Corolla,Hatchback,2010 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.7 L / 100 km,167101.0,Red / -,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,12990.0,5,5,7.7,0,1,13.0,Red,red,0,0,0,0,1,Gasoline,1,0,0,0,Premium,0,0,1,0,4,1.8,Toyota Corolla,0–20k,economy,Hatchback,9.472012088995733,169.0,0,0,0,0,1,0
Ford,2013.0,Falcon,Sedan,2013 Ford Falcon XR6,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,9.9 L / 100 km,163161.0,Blue / Black,"Blacktown, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,16999.0,4,5,9.9,0,1,10.0,Blue,others,0,0,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,6,4.0,Ford Falcon,0–20k,budget,Sedan,9.740968623038354,100.0,0,0,1,0,0,0
Honda,2014.0,CR-V,SUV,2014 Honda CR-V VTI-L (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,8.7 L / 100 km,103211.0,White / Black Cloth,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,23880.0,4,5,8.7,0,1,9.0,White,white,0,1,0,0,0,Gasoline,1,0,0,0,Economy,1,0,0,0,4,2.4,Honda CR-V,20–35k,economy,SUV,10.080838442676662,81.0,0,1,0,0,1,0
Toyota,2007.0,Corolla,Sedan,2007 Toyota Corolla Ultima,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,177751.0,Silver / -,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10990.0,4,5,7.4,0,1,16.0,Silver,silver,0,0,0,1,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,1.8,Toyota Corolla,0–20k,economy,Sedan,9.3048320350689,256.0,0,0,1,0,1,0
Toyota,2016.0,HiAce,People Mover,2016 Toyota HiAce Commuter,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.9 L / 100 km,119614.0,Silver / Black,"Ingleburn, NSW",4 cyl,People Mover, 3 Doors, 14 Seats,44900.0,3,14,10.9,0,1,7.0,Silver,silver,0,0,0,1,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.7,Toyota HiAce,35–65k,economy,Other,10.712215345197256,49.0,1,0,0,0,1,0
Hyundai,2012.0,I30,Hatchback,2012 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,125546.0,Black / Black Cloth,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,15880.0,5,5,6.9,0,1,11.0,Black,black,1,0,0,0,0,Gasoline,1,0,0,0,Economy,1,0,0,0,4,1.8,Hyundai I30,0–20k,economy,Hatchback,9.672878705110646,121.0,0,0,0,0,1,0
Mazda,2013.0,6,Sedan,2013 Mazda 6 Touring,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,163000.0,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,16995.0,4,5,6.6,0,1,10.0,Grey,gray,0,0,1,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.5,Mazda 6,0–20k,budget,Sedan,9.740733301234702,100.0,0,0,1,0,0,0
Toyota,2008.0,Kluger,SUV,2008 Toyota Kluger KX-S (fwd),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11 L / 100 km,132864.0,Blue / Black,"Blacktown, NSW",6 cyl,SUV, 4 Doors, 7 Seats,19880.0,4,7,11.0,0,1,15.0,Blue,others,0,0,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,6,3.5,Toyota Kluger,0–20k,premium,SUV,9.897519780756337,225.0,0,1,0,0,0,1
Hyundai,2018.0,Santa,SUV,2018 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.8 L / 100 km,71655.0,White / Black,"Homebush, NSW",4 cyl,SUV, 4 Doors, 7 Seats,43999.0,4,7,7.8,0,1,5.0,White,white,0,1,0,0,0,Others,0,0,0,0,Economy,1,0,0,0,4,2.2,Hyundai Santa,35–65k,economy,SUV,10.691944912900398,25.0,0,1,0,0,1,0
BMW,2012.0,X3,SUV,2012 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6 L / 100 km,109459.0,Black / -,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,18888.0,4,5,5.6,0,1,11.0,Black,black,1,0,0,0,0,Others,0,0,0,0,Premium,0,0,1,0,4,2.0,BMW X3,0–20k,premium,SUV,9.84633502103182,121.0,0,1,0,0,0,1
